p_name,b_electric_lock,p_lat,p_uid,p_terminal_type,p_rack_locks,b_lock_types,p_number,b_number,p_free_racks,p_address,b_active,p_spot,b_bike_type,city,p_bike_types,b_battery_pack,p_lng,p_maintenance,p_bikes,b_state,p_booked_bikes,trip,b_pedelec_battery,b_boardcomputer,p_bike_racks,datetime,p_place_type,p_bike
BIKE 93909,True,51.048177777778,14244219,,False,frame_lock,0,93909,0,,True,False,71,dresden,"{""71"": 1}",,13.731854444444,False,1,ok,0,last,,7551012826,0,2019-04-08 23:59:00,12,True
BIKE 93318,True,51.047533333333,14203491,,False,frame_lock,0,93318,0,,True,False,0,dresden,"{""undefined"": 1}",,13.726796666667,False,1,ok,0,first,,7551002313,0,2019-04-08 00:00:00,12,True
BIKE 93318,True,51.047422222222,14211418,,False,frame_lock,0,93318,0,,True,False,0,dresden,"{""undefined"": 1}",,13.726788888889,False,1,ok,0,start,,7551002313,0,2019-04-08 05:36:00,12,True
BIKE 93318,True,51.052906666667,14213836,,False,frame_lock,0,93318,0,,True,False,0,dresden,"{""undefined"": 1}",,13.723484444444,False,1,ok,0,end,,7551002313,0,2019-04-08 05:44:00,12,True
BIKE 93318,True,51.053266666667,14213836,,False,frame_lock,0,93318,0,,True,False,0,dresden,"{""undefined"": 1}",,13.723342222222,False,1,ok,0,start,,7551002313,0,2019-04-08 05:52:00,12,True
BIKE 93318,True,51.059657777778,14214592,,False,frame_lock,0,93318,0,,True,False,0,dresden,"{""undefined"": 1}",,13.740952222222,False,1,ok,0,end,,7551002313,0,2019-04-08 06:02:00,12,True
BIKE 93318,True,51.058937777778,14234026,,False,frame_lock,0,93318,0,,True,False,0,dresden,"{""undefined"": 1}",,13.739911111111,False,1,ok,0,start,,7551002313,0,2019-04-08 15:44:00,12,True
BIKE 93318,True,51.058937777778,14234026,,False,frame_lock,0,93318,0,,True,False,0,dresden,"{""undefined"": 1}",,13.739911111111,False,1,ok,0,end,,7551002313,0,2019-04-08 15:51:00,12,True
BIKE 93318,True,51.060635555556,14255023,,False,frame_lock,0,93318,0,,True,False,0,dresden,"{""undefined"": 1}",,13.740618888889,False,1,ok,0,last,,7551002313,0,2019-04-08 23:59:00,12,True
BIKE 93893,True,51.051657777778,14172686,,False,frame_lock,0,93893,0,,True,False,71,dresden,"{""71"": 1}",,13.747165555556,False,1,ok,0,first,,7551012904,0,2019-04-08 00:00:00,12,True
BIKE 93893,True,51.051657777778,14172686,,False,frame_lock,0,93893,0,,True,False,71,dresden,"{""71"": 1}",,13.747165555556,False,1,ok,0,start,,7551012904,0,2019-04-08 00:07:00,12,True
Jorge-Gomondai-Platz  ,True,51.062213656375,13640,,False,frame_lock,4401,93893,0,,True,True,71,dresden,"{""undefined"": 1, ""71"": 1}",,13.745484352112,False,2,ok,0,end,,7551012904,0,2019-04-08 00:16:00,0,False
Jorge-Gomondai-Platz  ,True,51.062213656375,13640,,False,frame_lock,4401,93893,0,,True,True,71,dresden,"{""undefined"": 1, ""71"": 1}",,13.745484352112,False,2,ok,0,start,,7551012904,0,2019-04-08 05:45:00,0,False
BIKE 93893,True,51.073835555556,14214231,,False,frame_lock,0,93893,0,,True,False,71,dresden,"{""71"": 1}",,13.754048888889,False,1,ok,0,end,,7551012904,0,2019-04-08 05:54:00,12,True
BIKE 93893,True,51.073755555556,14214231,,False,frame_lock,0,93893,0,,True,False,71,dresden,"{""71"": 1}",,13.753988888889,False,1,ok,0,start,,7551012904,0,2019-04-08 15:44:00,12,True
BIKE 93893,True,51.073755555556,14214231,,False,frame_lock,0,93893,0,,True,False,71,dresden,"{""71"": 1}",,13.753988888889,False,1,ok,0,end,,7551012904,0,2019-04-08 15:51:00,12,True
BIKE 93893,True,51.073697777778,14214231,,False,frame_lock,0,93893,0,,True,False,71,dresden,"{""71"": 1}",,13.753848888889,False,1,ok,0,start,,7551012904,0,2019-04-08 17:35:00,12,True
BIKE 93893,True,51.088515555556,14247536,,False,frame_lock,0,93893,0,,True,False,71,dresden,"{""71"": 1}",,13.766174444444,False,1,ok,0,end,,7551012904,0,2019-04-08 17:54:00,12,True
BIKE 93893,True,51.088644444444,14247536,,False,frame_lock,0,93893,0,,True,False,71,dresden,"{""71"": 1}",,13.765996666667,False,1,ok,0,last,,7551012904,0,2019-04-08 23:59:00,12,True
BIKE 93682,False,51.84896302,5904468,,False,analog_code_lock,0,93682,0,,True,False,15,dresden,"{""15"": 1}",,16.32254992,False,1,ok,0,first,,10935,0,2019-04-08 00:00:00,12,True
BIKE 93682,False,51.84896302,5904468,,False,analog_code_lock,0,93682,0,,True,False,15,dresden,"{""15"": 1}",,16.32254992,False,1,ok,0,start,,10935,0,2019-04-08 15:44:00,12,True
BIKE 93682,False,51.84896302,5904468,,False,analog_code_lock,0,93682,0,,True,False,15,dresden,"{""15"": 1}",,16.32254992,False,1,ok,0,end,,10935,0,2019-04-08 15:51:00,12,True
BIKE 93682,False,51.84896302,5904468,,False,analog_code_lock,0,93682,0,,True,False,15,dresden,"{""15"": 1}",,16.32254992,False,1,ok,0,last,,10935,0,2019-04-08 23:59:00,12,True
Parkhotel Weißer Hirsch,True,51.063798191437,263934,,False,frame_lock,4331,93772,0,,True,True,15,dresden,"{""15"": 2}",,13.821358680725,False,2,ok,0,first,,7551005252,0,2019-04-08 00:00:00,0,False
Parkhotel Weißer Hirsch,True,51.063798191437,263934,,False,frame_lock,4331,93772,0,,True,True,15,dresden,"{""15"": 2}",,13.821358680725,False,2,ok,0,start,,7551005252,0,2019-04-08 15:44:00,0,False
Parkhotel Weißer Hirsch,True,51.063798191437,263934,,False,frame_lock,4331,93772,0,,True,True,15,dresden,"{""15"": 2}",,13.821358680725,False,2,ok,0,end,,7551005252,0,2019-04-08 15:51:00,0,False
Parkhotel Weißer Hirsch,True,51.063798191437,263934,,False,frame_lock,4331,93772,0,,True,True,15,dresden,"{""15"": 2}",,13.821358680725,False,2,ok,0,last,,7551005252,0,2019-04-08 23:59:00,0,False
Rothermundstr. / Zwinglistr.,True,51.033352147368,4442319,free,False,frame_lock,4405,93488,0,,True,True,0,dresden,"{""undefined"": 2, ""15"": 2}",,13.782976269722,False,4,ok,0,first,,7551005321,0,2019-04-08 00:00:00,0,False
Rothermundstr. / Zwinglistr.,True,51.033352147368,4442319,free,False,frame_lock,4405,93488,0,,True,True,0,dresden,"{""undefined"": 1, ""15"": 1}",,13.782976269722,False,2,ok,0,start,,7551005321,0,2019-04-08 15:03:00,0,False
Schillergalerie,True,51.051369935647,329097,,False,frame_lock,4399,93488,3,,True,True,0,dresden,"{""undefined"": 2, ""15"": 1}",,13.804289102554,False,3,ok,0,end,,7551005321,6,2019-04-08 15:53:00,0,False
Schillergalerie,True,51.051369935647,329097,,False,frame_lock,4399,93488,4,,True,True,0,dresden,"{""undefined"": 1, ""15"": 1}",,13.804289102554,False,2,ok,0,last,,7551005321,6,2019-04-08 23:59:00,0,False
Malterstraße (Haltestelle),True,51.04257,10299584,free,False,frame_lock,4483,93264,0,,True,True,15,dresden,"{""undefined"": 1, ""15"": 4}",,13.69113,False,5,ok,0,first,,7551003799,0,2019-04-08 00:00:00,0,False
Malterstraße (Haltestelle),True,51.04257,10299584,free,False,frame_lock,4483,93264,0,,True,True,15,dresden,"{""undefined"": 1, ""15"": 1}",,13.69113,False,2,ok,0,start,,7551003799,0,2019-04-08 08:58:00,0,False
Andreas-Schubert-Bau / Zellescher Weg,True,51.02922,4405569,sign,False,frame_lock,4450,93264,0,,True,True,15,dresden,"{""15"": 2}",,13.74035,False,2,ok,0,end,,7551003799,0,2019-04-08 09:19:00,0,False
Andreas-Schubert-Bau / Zellescher Weg,True,51.02922,4405569,sign,False,frame_lock,4450,93264,0,,True,True,15,dresden,"{""15"": 2}",,13.74035,False,2,ok,0,start,,7551003799,0,2019-04-08 10:43:00,0,False
Hauptbahnhof,True,51.040476453474,120,,False,frame_lock,4313,93264,0,,True,True,15,dresden,"{""15"": 1}",,13.733623623848,True,1,ok,0,end,,7551003799,0,2019-04-08 10:52:00,0,False
