b_number,b_boardcomputer,p_booked_bikes,b_pedelec_battery,p_special_racks,p_bike_racks,p_uid,p_place_type,trip,b_battery_pack,p_bike_types,b_lock_types,p_name,p_bikes,p_bike,p_maintenance,b_state,p_address,p_lng,p_free_racks,b_bike_type,p_rack_locks,p_spot,b_active,datetime,p_number,p_terminal_type,p_free_special_racks,p_lat,city,b_electric_lock
93249,7551005287,0,,0,0,4405696,0,start,,"{""71"": 1}",frame_lock,Toeplerbau / Binderbau,1,False,False,ok,,13.72573,0,71,False,True,True,2019-11-15 13:08:00,4459,traffic_sign,0,51.02727,dresden,True
93249,7551005287,0,,0,0,264574,0,end,,"{""71"": 3}",frame_lock,Chemnitzer Straße,3,False,False,ok,,13.710991144180296,0,71,False,True,True,2019-11-15 13:18:00,4372,,0,51.033662509278386,dresden,True
93249,7551005287,0,,0,0,264574,0,start,,"{""71"": 2}",frame_lock,Chemnitzer Straße,2,False,False,ok,,13.710991144180296,0,71,False,True,True,2019-11-15 14:15:00,4372,,0,51.033662509278386,dresden,True
93249,7551005287,0,,0,0,24884492,12,end,,"{""71"": 1}",frame_lock,BIKE 93249,1,True,False,ok,,13.736537777778,0,71,False,False,True,2019-11-15 14:29:00,0,,0,51.043262222222,dresden,True
93249,7551005287,0,,0,0,24884492,12,last,,"{""71"": 1}",frame_lock,BIKE 93249,1,True,False,ok,,13.736111111111,0,71,False,False,True,2019-11-15 23:59:00,0,,0,51.042773333333,dresden,True
93425,7551002506,0,,0,0,310789,0,first,,"{""71"": 8}",frame_lock,Haltepunkt Plauen,8,False,False,ok,,13.703261017799377,0,71,False,True,True,2019-11-15 00:00:00,4435,,0,51.030086474318246,dresden,True
93425,7551002506,0,,0,0,310789,0,start,,"{""71"": 6}",frame_lock,Haltepunkt Plauen,6,False,False,ok,,13.703261017799377,0,71,False,True,True,2019-11-15 07:45:00,4435,,0,51.030086474318246,dresden,True
93425,7551002506,0,,0,0,338637,0,end,,"{""71"": 4}",frame_lock,Bhf. Mitte - Weißeritzstraße,4,False,False,ok,,13.722803592681885,0,71,False,True,True,2019-11-15 07:59:00,4300,,0,51.05570637992387,dresden,True
93425,7551002506,0,,0,0,338637,0,start,,"{""71"": 3}",frame_lock,Bhf. Mitte - Weißeritzstraße,3,False,False,ok,,13.722803592681885,0,71,False,True,True,2019-11-15 10:44:00,4300,,0,51.05570637992387,dresden,True
93425,7551002506,0,,0,0,310791,0,end,,"{""71"": 4}",frame_lock,Conertplatz,4,False,False,ok,,13.69296669960022,0,71,False,True,True,2019-11-15 10:59:00,4437,,0,51.04600108441405,dresden,True
93425,7551002506,0,,0,0,310791,0,start,,"{""71"": 6}",frame_lock,Conertplatz,6,False,False,ok,,13.69296669960022,0,71,False,True,True,2019-11-15 23:10:00,4437,,0,51.04600108441405,dresden,True
93425,7551002506,0,,0,0,10299619,0,end,,"{""71"": 3}",frame_lock,Bünaustraße,3,False,False,ok,,13.69841694831848,0,71,False,True,True,2019-11-15 23:15:00,4485,free,0,51.04340749052124,dresden,True
93425,7551002506,0,,0,0,10299619,0,last,,"{""71"": 4}",frame_lock,Bünaustraße,4,False,False,ok,,13.69841694831848,0,71,False,True,True,2019-11-15 23:59:00,4485,free,0,51.04340749052124,dresden,True
93066,7551004443,0,,0,0,310789,0,first,,"{""71"": 8}",frame_lock,Haltepunkt Plauen,8,False,False,ok,,13.703261017799377,0,71,False,True,True,2019-11-15 00:00:00,4435,,0,51.030086474318246,dresden,True
93066,7551004443,0,,0,0,310789,0,last,,"{""71"": 6}",frame_lock,Haltepunkt Plauen,6,False,False,ok,,13.703261017799377,0,71,False,True,True,2019-11-15 09:24:00,4435,,0,51.030086474318246,dresden,True
93351,7551006847,0,,0,0,310789,0,first,,"{""71"": 8}",frame_lock,Haltepunkt Plauen,8,False,False,ok,,13.703261017799377,0,71,False,True,True,2019-11-15 00:00:00,4435,,0,51.030086474318246,dresden,True
93351,7551006847,0,,0,0,310789,0,last,,"{""71"": 6}",frame_lock,Haltepunkt Plauen,6,False,False,ok,,13.703261017799377,0,71,False,True,True,2019-11-15 09:24:00,4435,,0,51.030086474318246,dresden,True
93543,7551003616,0,,0,0,310789,0,first,,"{""71"": 8}",frame_lock,Haltepunkt Plauen,8,False,False,ok,,13.703261017799377,0,71,False,True,True,2019-11-15 00:00:00,4435,,0,51.030086474318246,dresden,True
93543,7551003616,0,,0,0,310789,0,start,,"{""71"": 8}",frame_lock,Haltepunkt Plauen,8,False,False,ok,,13.703261017799377,0,71,False,True,True,2019-11-15 05:36:00,4435,,0,51.030086474318246,dresden,True
93543,7551003616,0,,0,0,24866568,12,end,,"{""71"": 1}",frame_lock,BIKE 93543,1,True,False,ok,,13.721773333333,0,71,False,False,True,2019-11-15 05:48:00,0,,0,51.050008888889,dresden,True
93543,7551003616,0,,0,0,24877541,12,start,,"{""71"": 1}",frame_lock,BIKE 93543,1,True,False,ok,,13.721738888889,0,71,False,False,True,2019-11-15 16:26:00,0,,0,51.049351111111,dresden,True
93543,7551003616,0,,0,0,120,0,end,,"{""71"": 21}",frame_lock,Hauptbahnhof,21,False,True,ok,,13.733623623847961,0,71,False,True,True,2019-11-15 16:35:00,4313,,0,51.040476453474334,dresden,True
93543,7551003616,0,,0,0,120,0,start,,"{""71"": 21}",frame_lock,Hauptbahnhof,21,False,True,ok,,13.733623623847961,0,71,False,True,True,2019-11-15 16:39:00,4313,,0,51.040476453474334,dresden,True
93543,7551003616,0,,0,0,24890640,12,end,,"{""71"": 1}",frame_lock,BIKE 93543,1,True,False,ok,,13.728243333333,0,71,False,False,True,2019-11-15 16:46:00,0,,0,51.052595555556,dresden,True
93543,7551003616,0,,0,0,24890640,12,last,,"{""71"": 1}",frame_lock,BIKE 93543,1,True,False,ok,,13.728171111111,0,71,False,False,True,2019-11-15 23:59:00,0,,0,51.052497777778,dresden,True
93531,7551006337,0,,0,0,310789,0,first,,"{""71"": 8}",frame_lock,Haltepunkt Plauen,8,False,False,ok,,13.703261017799377,0,71,False,True,True,2019-11-15 00:00:00,4435,,0,51.030086474318246,dresden,True
93531,7551006337,0,,0,0,310789,0,last,,"{""71"": 7}",frame_lock,Haltepunkt Plauen,7,False,False,ok,,13.703261017799377,0,71,False,True,True,2019-11-15 05:55:00,4435,,0,51.030086474318246,dresden,True
93726,7551002446,0,,0,0,310789,0,first,,"{""71"": 8}",frame_lock,Haltepunkt Plauen,8,False,False,ok,,13.703261017799377,0,71,False,True,True,2019-11-15 00:00:00,4435,,0,51.030086474318246,dresden,True
93726,7551002446,0,,0,0,310789,0,start,,"{""71"": 3}",frame_lock,Haltepunkt Plauen,3,False,False,ok,,13.703261017799377,0,71,False,True,True,2019-11-15 09:59:00,4435,,0,51.030086474318246,dresden,True
93726,7551002446,0,,0,0,4405696,0,end,,"{""71"": 4}",frame_lock,Toeplerbau / Binderbau,4,False,False,ok,,13.72573,0,71,False,True,True,2019-11-15 10:27:00,4459,traffic_sign,0,51.02727,dresden,True
93726,7551002446,0,,0,0,4405696,0,start,,"{""71"": 6}",frame_lock,Toeplerbau / Binderbau,6,False,False,ok,,13.72573,0,71,False,True,True,2019-11-15 12:02:00,4459,traffic_sign,0,51.02727,dresden,True
93726,7551002446,0,,0,0,264574,0,end,,"{""71"": 4}",frame_lock,Chemnitzer Straße,4,False,False,ok,,13.710991144180296,0,71,False,True,True,2019-11-15 12:11:00,4372,,0,51.033662509278386,dresden,True
93726,7551002446,0,,0,0,264574,0,start,,"{""71"": 3}",frame_lock,Chemnitzer Straße,3,False,False,ok,,13.710991144180296,0,71,False,True,True,2019-11-15 12:49:00,4372,,0,51.033662509278386,dresden,True
93726,7551002446,0,,0,0,4405733,0,end,,"{""71"": 6}",frame_lock,Münchner Platz / George-Bähr-Str.,6,False,False,ok,,13.72327,0,71,False,True,True,2019-11-15 12:56:00,4462,traffic_sign,0,51.02962,dresden,True
93726,7551002446,0,,0,0,4405733,0,start,,"{""71"": 7}",frame_lock,Münchner Platz / George-Bähr-Str.,7,False,False,ok,,13.72327,0,71,False,True,True,2019-11-15 13:46:00,4462,traffic_sign,0,51.02962,dresden,True
93726,7551002446,0,,0,0,4405696,0,end,,"{""71"": 1}",frame_lock,Toeplerbau / Binderbau,1,False,False,ok,,13.72573,0,71,False,True,True,2019-11-15 13:49:00,4459,traffic_sign,0,51.02727,dresden,True
93726,7551002446,0,,0,0,4405696,0,start,,"{""71"": 1}",frame_lock,Toeplerbau / Binderbau,1,False,False,ok,,13.72573,0,71,False,True,True,2019-11-15 13:58:00,4459,traffic_sign,0,51.02727,dresden,True
93726,7551002446,0,,0,0,4405696,0,start,,"{""71"": 1}",frame_lock,Toeplerbau / Binderbau,1,False,False,ok,,13.72573,0,71,False,True,True,2019-11-15 14:00:00,4459,traffic_sign,0,51.02727,dresden,True
93726,7551002446,0,,0,0,4405747,0,end,,"{""71"": 1}",frame_lock,Lukasstr. / Hochschulstr.,1,False,False,ok,,13.7325,0,71,False,True,True,2019-11-15 14:06:00,4463,free,0,51.03252,dresden,True
93726,7551002446,0,,0,0,4405747,0,start,,"{""71"": 1}",frame_lock,Lukasstr. / Hochschulstr.,1,False,False,ok,,13.7325,0,71,False,True,True,2019-11-15 14:42:00,4463,free,0,51.03252,dresden,True
93726,7551002446,0,,0,0,24885515,12,end,,"{""71"": 1}",frame_lock,BIKE 93726,1,True,False,ok,,13.734281111111,0,71,False,False,True,2019-11-15 14:54:00,0,,0,51.047773333333,dresden,True
93726,7551002446,0,,0,0,24890992,12,start,,"{""71"": 1}",frame_lock,BIKE 93726,1,True,False,ok,,13.734496666667,0,71,False,False,True,2019-11-15 22:46:00,0,,0,51.04772,dresden,True
93726,7551002446,0,,0,0,24903134,12,end,,"{""71"": 1}",frame_lock,BIKE 93726,1,True,False,ok,,13.728434444444,0,71,False,False,True,2019-11-15 22:53:00,0,,0,51.047342222222,dresden,True
93726,7551002446,0,,0,0,24903134,12,last,,"{""71"": 1}",frame_lock,BIKE 93726,1,True,False,ok,,13.728798888889,0,71,False,False,True,2019-11-15 23:59:00,0,,0,51.046915555556,dresden,True
93886,7551013063,0,,0,0,310789,0,first,,"{""71"": 8}",frame_lock,Haltepunkt Plauen,8,False,False,ok,,13.703261017799377,0,71,False,True,True,2019-11-15 00:00:00,4435,,0,51.030086474318246,dresden,True
93886,7551013063,0,,0,0,310789,0,last,,"{""71"": 4}",frame_lock,Haltepunkt Plauen,4,False,False,ok,,13.703261017799377,0,71,False,True,True,2019-11-15 11:17:00,4435,,0,51.030086474318246,dresden,True
93023,7551004111,0,,0,0,310790,0,first,,"{""71"": 9}",frame_lock,Kesselsdorfer Str. / Reisewitzer Str.,9,False,False,ok,,13.7008419,0,71,False,True,True,2019-11-15 00:00:00,4436,,0,51.0440355,dresden,True
93023,7551004111,0,,0,0,310790,0,start,,"{""71"": 9}",frame_lock,Kesselsdorfer Str. / Reisewitzer Str.,9,False,False,ok,,13.7008419,0,71,False,True,True,2019-11-15 11:59:00,4436,,0,51.0440355,dresden,True
93023,7551004111,0,,0,0,4405733,0,end,,"{""71"": 6}",frame_lock,Münchner Platz / George-Bähr-Str.,6,False,False,ok,,13.72327,0,71,False,True,True,2019-11-15 12:12:00,4462,traffic_sign,0,51.02962,dresden,True
93023,7551004111,0,,0,0,4405733,0,start,,"{""71"": 3}",frame_lock,Münchner Platz / George-Bähr-Str.,3,False,False,ok,,13.72327,0,71,False,True,True,2019-11-15 12:30:00,4462,traffic_sign,0,51.02962,dresden,True
93023,7551004111,0,,0,0,24880904,12,end,,"{""71"": 1}",frame_lock,BIKE 93023,1,True,False,ok,,13.75205,0,71,False,False,True,2019-11-15 13:07:00,0,,0,51.031862222222,dresden,True
93023,7551004111,0,,0,0,4405638,0,last,,"{""71"": 5}",frame_lock,August-Bebel-Str. / hinter dem Haus 83 rechts,5,False,False,ok,,13.752731680870056,0,71,False,True,True,2019-11-15 23:59:00,4456,traffic_sign,0,51.03112895073994,dresden,True
93481,7551002454,0,,0,0,310790,0,first,,"{""71"": 9}",frame_lock,Kesselsdorfer Str. / Reisewitzer Str.,9,False,False,ok,,13.7008419,0,71,False,True,True,2019-11-15 00:00:00,4436,,0,51.0440355,dresden,True
93481,7551002454,0,,0,0,310790,0,start,,"{""71"": 8}",frame_lock,Kesselsdorfer Str. / Reisewitzer Str.,8,False,False,ok,,13.7008419,0,71,False,True,True,2019-11-15 17:43:00,4436,,0,51.0440355,dresden,True
93481,7551002454,0,,0,0,24893385,12,end,,"{""71"": 1}",frame_lock,BIKE 93481,1,True,False,ok,,13.689771111111,0,71,False,False,True,2019-11-15 17:47:00,0,,0,51.043702222222,dresden,True
93481,7551002454,0,,0,0,10299584,0,last,,"{""71"": 2}",frame_lock,Malterstraße (Haltestelle),2,False,False,ok,,13.69113,0,71,False,True,True,2019-11-15 23:59:00,4483,free,0,51.04257,dresden,True
93438,7551006653,0,,0,0,310790,0,first,,"{""71"": 9}",frame_lock,Kesselsdorfer Str. / Reisewitzer Str.,9,False,False,ok,,13.7008419,0,71,False,True,True,2019-11-15 00:00:00,4436,,0,51.0440355,dresden,True
93438,7551006653,0,,0,0,310790,0,start,,"{""71"": 6}",frame_lock,Kesselsdorfer Str. / Reisewitzer Str.,6,False,False,ok,,13.7008419,0,71,False,True,True,2019-11-15 21:27:00,4436,,0,51.0440355,dresden,True
93438,7551006653,0,,0,0,10924,0,end,,"{""71"": 1}",frame_lock,Postplatz / Staatsschauspiel Dresden,1,False,False,ok,,13.7325990200043,0,71,False,True,True,2019-11-15 21:40:00,4411,,0,51.0518690183409,dresden,True
93438,7551006653,0,,0,0,10924,0,start,,"{""71"": 1}",frame_lock,Postplatz / Staatsschauspiel Dresden,1,False,False,ok,,13.7325990200043,0,71,False,True,True,2019-11-15 21:52:00,4411,,0,51.0518690183409,dresden,True
93438,7551006653,0,,0,0,24901842,12,end,,"{""71"": 1}",frame_lock,BIKE 93438,1,True,False,ok,,13.755222222222,0,71,False,False,True,2019-11-15 22:02:00,0,,0,51.047017777778,dresden,True
93438,7551006653,0,,0,0,24901842,12,start,,"{""71"": 1}",frame_lock,BIKE 93438,1,True,False,ok,,13.755222222222,0,71,False,False,True,2019-11-15 22:23:00,0,,0,51.047017777778,dresden,True
93438,7551006653,0,,0,0,274412,0,end,,"{""71"": 5}",frame_lock,Bergmannstraße / Wormser Straße,5,False,False,ok,,13.78983736038208,0,71,False,True,True,2019-11-15 22:38:00,4425,,0,51.04509047631222,dresden,True
93438,7551006653,0,,0,0,274412,0,last,,"{""71"": 4}",frame_lock,Bergmannstraße / Wormser Straße,4,False,False,ok,,13.78983736038208,0,71,False,True,True,2019-11-15 23:59:00,4425,,0,51.04509047631222,dresden,True
93318,7551002313,0,,0,0,310790,0,first,,"{""71"": 9}",frame_lock,Kesselsdorfer Str. / Reisewitzer Str.,9,False,False,ok,,13.7008419,0,71,False,True,True,2019-11-15 00:00:00,4436,,0,51.0440355,dresden,True
93318,7551002313,0,,0,0,310790,0,last,,"{""71"": 4}",frame_lock,Kesselsdorfer Str. / Reisewitzer Str.,4,False,False,ok,,13.7008419,0,71,False,True,True,2019-11-15 23:59:00,4436,,0,51.0440355,dresden,True
93232,7551004385,0,,0,0,310790,0,first,,"{""71"": 9}",frame_lock,Kesselsdorfer Str. / Reisewitzer Str.,9,False,False,ok,,13.7008419,0,71,False,True,True,2019-11-15 00:00:00,4436,,0,51.0440355,dresden,True
93232,7551004385,0,,0,0,310790,0,last,,"{""71"": 4}",frame_lock,Kesselsdorfer Str. / Reisewitzer Str.,4,False,False,ok,,13.7008419,0,71,False,True,True,2019-11-15 23:59:00,4436,,0,51.0440355,dresden,True
93690,7551006344,0,,0,0,310790,0,first,,"{""71"": 9}",frame_lock,Kesselsdorfer Str. / Reisewitzer Str.,9,False,False,ok,,13.7008419,0,71,False,True,True,2019-11-15 00:00:00,4436,,0,51.0440355,dresden,True
93690,7551006344,0,,0,0,10299619,0,last,,"{""71"": 4}",frame_lock,Bünaustraße,4,False,False,ok,,13.69841694831848,0,71,False,True,True,2019-11-15 23:59:00,4485,free,0,51.04340749052124,dresden,True
93914,7551012941,0,,0,0,310790,0,first,,"{""71"": 9}",frame_lock,Kesselsdorfer Str. / Reisewitzer Str.,9,False,False,ok,,13.7008419,0,71,False,True,True,2019-11-15 00:00:00,4436,,0,51.0440355,dresden,True
93914,7551012941,0,,0,0,310790,0,last,,"{""71"": 4}",frame_lock,Kesselsdorfer Str. / Reisewitzer Str.,4,False,False,ok,,13.7008419,0,71,False,True,True,2019-11-15 23:59:00,4436,,0,51.0440355,dresden,True
93910,7551012684,0,,0,0,310790,0,first,,"{""71"": 9}",frame_lock,Kesselsdorfer Str. / Reisewitzer Str.,9,False,False,ok,,13.7008419,0,71,False,True,True,2019-11-15 00:00:00,4436,,0,51.0440355,dresden,True
93910,7551012684,0,,0,0,310790,0,start,,"{""71"": 9}",frame_lock,Kesselsdorfer Str. / Reisewitzer Str.,9,False,False,ok,,13.7008419,0,71,False,True,True,2019-11-15 07:46:00,4436,,0,51.0440355,dresden,True
93910,7551012684,0,,0,0,24869390,12,end,,"{""71"": 1}",frame_lock,BIKE 93910,1,True,False,ok,,13.732728888889,0,71,False,False,True,2019-11-15 07:58:00,0,,0,51.040853333333,dresden,True
93910,7551012684,0,,0,0,24877924,12,start,,"{""71"": 1}",frame_lock,BIKE 93910,1,True,False,ok,,13.732745555556,0,71,False,False,True,2019-11-15 12:59:00,0,,0,51.040786666667,dresden,True
93910,7551012684,0,,0,0,1168109,0,end,,"{""71"": 1}",frame_lock,IPRO Consult,1,False,False,ok,,13.742340803146362,0,71,False,True,True,2019-11-15 13:11:00,4448,free,0,51.033649015325494,dresden,True
93910,7551012684,0,,0,0,1168109,0,start,,"{""71"": 2}",frame_lock,IPRO Consult,2,False,False,ok,,13.742340803146362,0,71,False,True,True,2019-11-15 16:33:00,4448,free,0,51.033649015325494,dresden,True
93910,7551012684,0,,0,0,264582,0,end,,"{""71"": 4}",frame_lock,Budapester Straße,4,False,False,ok,,13.719418644905089,0,71,False,True,True,2019-11-15 16:44:00,4379,,0,51.04038538260956,dresden,True
93910,7551012684,0,,0,0,264582,0,start,,"{""71"": 4}",frame_lock,Budapester Straße,4,False,False,ok,,13.719418644905089,0,71,False,True,True,2019-11-15 17:58:00,4379,,0,51.04038538260956,dresden,True
93910,7551012684,0,,0,0,264574,0,end,,"{""71"": 3}",frame_lock,Chemnitzer Straße,3,False,False,ok,,13.710991144180296,0,71,False,True,True,2019-11-15 18:05:00,4372,,0,51.033662509278386,dresden,True
93910,7551012684,0,,0,0,264574,0,start,,"{""71"": 2}",frame_lock,Chemnitzer Straße,2,False,False,ok,,13.710991144180296,0,71,False,True,True,2019-11-15 20:05:00,4372,,0,51.033662509278386,dresden,True
93910,7551012684,0,,0,0,69118,0,end,,"{""71"": 1}",frame_lock,Dresden Thalia (Dr.-Külz-Ring/Prager Str.),1,False,False,ok,,13.736633062362671,0,71,False,True,True,2019-11-15 20:14:00,4415,,0,51.04703983031739,dresden,True
93910,7551012684,0,,0,0,69118,0,start,,"{""71"": 1}",frame_lock,Dresden Thalia (Dr.-Külz-Ring/Prager Str.),1,False,False,ok,,13.736633062362671,0,71,False,True,True,2019-11-15 20:41:00,4415,,0,51.04703983031739,dresden,True
93910,7551012684,1,,0,0,10299481,0,end,,"{""71"": 1}",frame_lock,Rathaus Plauen,1,False,False,ok,,13.707064390182495,0,71,False,True,True,2019-11-15 20:55:00,4470,free,0,51.0294015984049,dresden,True
93910,7551012684,0,,0,0,10299481,0,start,,"{""71"": 1}",frame_lock,Rathaus Plauen,1,False,False,ok,,13.707064390182495,0,71,False,True,True,2019-11-15 22:46:00,4470,free,0,51.0294015984049,dresden,True
93910,7551012684,0,,0,0,24903250,12,end,,"{""71"": 1}",frame_lock,BIKE 93910,1,True,False,ok,,13.738406666667,0,71,False,False,True,2019-11-15 22:58:00,0,,0,51.04388,dresden,True
