p_spot,b_lock_types,p_maintenance,p_bike_racks,p_terminal_type,p_place_type,p_number,p_rack_locks,p_uid,b_battery_pack,b_state,b_number,p_free_racks,b_boardcomputer,datetime,p_lng,p_address,b_active,b_electric_lock,p_bike,p_bikes,trip,city,p_booked_bikes,p_name,b_bike_type,p_lat,b_pedelec_battery,p_bike_types
False,frame_lock,False,0,,12,0,False,13790709,,ok,93243,0,7551006675,2019-03-28 16:49:00,13.688864444444,Tonbergstraße,True,True,True,1,end,dresden,0,BIKE 93243,0,51.057991111111,,"{""undefined"": 1}"
False,frame_lock,False,0,,12,0,False,13790709,,ok,93243,0,7551006675,2019-03-28 23:59:00,13.689145555556,Flügelweg 18,True,True,True,1,last,dresden,0,BIKE 93243,0,51.058275555556,,"{""undefined"": 1}"
False,analog_code_lock,False,0,,12,0,False,13538621,,ok,93636,0,0,2019-03-28 00:00:00,13.7300113,Heidestraße 15,True,False,True,1,first,dresden,0,BIKE 93636,15,51.0828657,0,"{""15"": 1}"
False,analog_code_lock,False,0,,12,0,False,13538621,,ok,93636,0,0,2019-03-28 07:52:00,13.7300113,Heidestraße 15,True,False,True,1,last,dresden,0,BIKE 93636,15,51.0828657,0,"{""15"": 1}"
False,frame_lock,False,0,,12,0,False,13741463,,ok,93014,0,7551002962,2019-03-28 00:00:00,13.719557777778,,True,True,True,1,first,dresden,0,BIKE 93014,15,51.095933333333,0,"{""15"": 1}"
False,frame_lock,False,0,,12,0,False,13789003,,ok,93014,0,7551002962,2019-03-28 23:59:00,13.71942,Buchholzer Straße,True,True,True,1,last,dresden,0,BIKE 93014,15,51.096071111111,,"{""15"": 1}"
False,frame_lock,False,0,,12,0,False,13767876,,ok,93582,0,7551005266,2019-03-28 00:00:00,13.741841111111,,True,True,True,1,first,dresden,0,BIKE 93582,15,51.070426666667,0,"{""15"": 1}"
False,frame_lock,False,0,,12,0,False,13767876,,ok,93582,0,7551005266,2019-03-28 07:58:00,13.741375555556,,True,True,True,1,start,dresden,0,BIKE 93582,15,51.070542222222,0,"{""15"": 1}"
False,frame_lock,False,0,,12,0,False,13775772,,ok,93582,0,7551005266,2019-03-28 08:03:00,13.748152222222,,True,True,True,1,end,dresden,0,BIKE 93582,15,51.069537777778,0,"{""15"": 1}"
False,frame_lock,False,0,,12,0,False,13775772,,ok,93582,0,7551005266,2019-03-28 16:58:00,13.748124444444,Schwepnitzer Straße 1,True,True,True,1,start,dresden,0,BIKE 93582,15,51.069328888889,,"{""15"": 1}"
False,frame_lock,False,0,,12,0,False,13791314,,ok,93582,0,7551005266,2019-03-28 17:05:00,13.741852222222,Lößnitzstraße 14,True,True,True,1,end,dresden,0,BIKE 93582,15,51.07028,,"{""15"": 1}"
False,frame_lock,False,0,,12,0,False,13791314,,ok,93582,0,7551005266,2019-03-28 23:59:00,13.741368888889,Friedensstraße 21b,True,True,True,1,last,dresden,0,BIKE 93582,15,51.070497777778,,"{""15"": 1}"
False,frame_lock,False,0,,12,0,False,13738843,,ok,93554,0,7551003473,2019-03-28 00:00:00,13.704127777778,,True,True,True,1,first,dresden,0,BIKE 93554,15,51.046231111111,0,"{""15"": 1}"
False,frame_lock,False,0,,12,0,False,13738843,,ok,93554,0,7551003473,2019-03-28 23:59:00,13.704668888889,Columbusstraße 9,True,True,True,1,last,dresden,0,BIKE 93554,15,51.046106666667,,"{""15"": 1}"
True,frame_lock,False,0,,0,4358,False,264560,,ok,93634,0,7551003775,2019-03-28 00:00:00,13.704553842545,,True,True,False,2,first,dresden,0,Haltepunkt Trachau,15,51.08875925821,0,"{""undefined"": 1, ""15"": 1}"
True,frame_lock,False,0,,0,4358,False,264560,,ok,93634,0,7551003775,2019-03-28 23:59:00,13.704553842545,,True,True,False,2,last,dresden,0,Haltepunkt Trachau,15,51.08875925821,,"{""15"": 2}"
True,frame_lock,False,0,,0,4309,False,75238,,ok,93764,0,7551006575,2019-03-28 00:00:00,13.790373802185,,True,True,False,5,first,dresden,0,Hp. Dresden-Reick,15,51.021027075562,0,"{""undefined"": 2, ""15"": 3}"
True,frame_lock,False,0,,0,4309,False,75238,,ok,93764,0,7551006575,2019-03-28 23:59:00,13.790373802185,,True,True,False,4,last,dresden,0,Hp. Dresden-Reick,15,51.021027075562,,"{""undefined"": 2, ""15"": 2}"
False,frame_lock,False,0,,12,0,False,13767231,,ok,93579,0,7551004036,2019-03-28 00:00:00,13.778253333333,,True,True,True,1,first,dresden,0,BIKE 93579,15,51.014951111111,0,"{""15"": 1}"
False,frame_lock,False,0,,12,0,False,13797042,,ok,93579,0,7551004036,2019-03-28 23:59:00,13.778325555556,Curt-Querner-Straße 23,True,True,True,1,last,dresden,0,BIKE 93579,15,51.01544,,"{""15"": 1}"
True,frame_lock,False,6,,0,4399,False,329097,,ok,93015,4,7551005190,2019-03-28 00:00:00,13.804289102554,,True,True,False,2,first,dresden,0,Schillergalerie,15,51.051369935647,0,"{""undefined"": 1, ""15"": 1}"
True,frame_lock,False,6,,0,4399,False,329097,,ok,93015,4,7551005190,2019-03-28 14:28:00,13.804289102554,,True,True,False,2,last,dresden,0,Schillergalerie,15,51.051369935647,,"{""undefined"": 1, ""15"": 1}"
False,frame_lock,False,0,,12,0,False,13767201,,ok,93807,0,7551006339,2019-03-28 00:00:00,13.753965555556,,True,True,True,1,first,dresden,0,BIKE 93807,15,51.068871111111,0,"{""15"": 1}"
False,frame_lock,False,0,,12,0,False,13767201,,ok,93807,0,7551006339,2019-03-28 05:58:00,13.753814444444,,True,True,True,1,start,dresden,0,BIKE 93807,15,51.069004444444,0,"{""15"": 1}"
False,frame_lock,False,0,,12,0,False,13773208,,ok,93807,0,7551006339,2019-03-28 06:07:00,13.738514444444,,True,True,True,1,end,dresden,0,BIKE 93807,15,51.062475555556,0,"{""15"": 1}"
False,frame_lock,False,0,,12,0,False,13788296,,ok,93807,0,7551006339,2019-03-28 18:07:00,13.737331111111,Robert-Blum-Straße,True,True,True,1,start,dresden,0,BIKE 93807,15,51.062995555556,,"{""15"": 1}"
False,frame_lock,False,0,,12,0,False,13793928,,ok,93807,0,7551006339,2019-03-28 18:20:00,13.737658888889,Theresienstraße 1,True,True,True,1,end,dresden,0,BIKE 93807,15,51.062582222222,,"{""15"": 1}"
False,frame_lock,False,0,,12,0,False,13793928,,ok,93807,0,7551006339,2019-03-28 18:22:00,13.737658888889,Theresienstraße 1,True,True,True,1,start,dresden,0,BIKE 93807,15,51.062582222222,,"{""15"": 1}"
False,frame_lock,False,0,,12,0,False,13794129,,ok,93807,0,7551006339,2019-03-28 18:26:00,13.738217777778,Palaisplatz,True,True,True,1,end,dresden,0,BIKE 93807,15,51.061622222222,,"{""15"": 1}"
False,frame_lock,False,0,,12,0,False,13799863,,ok,93807,0,7551006339,2019-03-28 23:59:00,13.738175555556,Theresienstraße,True,True,True,1,last,dresden,0,BIKE 93807,15,51.062093333333,,"{""15"": 1}"
False,frame_lock,False,0,,12,0,False,13778916,"{""percentage"": 0}",ok,93649,0,7551006706,2019-03-28 10:21:00,13.732106666667,Fritz-Löffler-Straße,True,True,True,1,first,dresden,0,BIKE 93649,15,51.0364,0,"{""15"": 1}"
False,frame_lock,False,0,,12,0,False,13780973,,ok,93649,0,7551006706,2019-03-28 13:09:00,13.731343333333,,True,True,True,1,start,dresden,0,BIKE 93649,15,51.03652,,"{""15"": 1}"
False,frame_lock,False,0,,12,0,False,13783435,,ok,93649,0,7551006706,2019-03-28 13:15:00,13.736932222222,,True,True,True,1,end,dresden,0,BIKE 93649,15,51.045408888889,,"{""15"": 1}"
True,frame_lock,False,0,,0,4418,False,19892,,ok,93649,0,7551006706,2019-03-28 23:59:00,13.735235631466,,True,True,False,1,last,dresden,0,Prager Str. / Mc Donalds,15,51.04281219133,,"{""15"": 1}"
False,analog_code_lock,False,0,,12,0,False,13636423,,ok,93456,0,1456,2019-03-28 00:00:00,13.7399983965,,True,False,True,1,first,dresden,0,BIKE 93456,0,51.0663211535,0,"{""undefined"": 1}"
False,analog_code_lock,False,0,,12,0,False,13636423,,ok,93456,0,1456,2019-03-28 23:59:00,13.7399983965,,True,False,True,1,last,dresden,0,BIKE 93456,0,51.0663211535,,"{""undefined"": 1}"
True,frame_lock,False,0,free,0,4332,False,73,,ok,93608,0,7551006376,2019-03-28 00:00:00,13.741219639778,,True,True,False,5,first,dresden,0,Bf. Dresden-Neustadt,15,51.065183772328,0,"{""undefined"": 2, ""15"": 3}"
True,frame_lock,False,0,free,0,4332,False,73,,ok,93608,0,7551006376,2019-03-28 09:37:00,13.741219639778,,True,True,False,5,start,dresden,0,Bf. Dresden-Neustadt,15,51.065183772328,0,"{""undefined"": 2, ""15"": 3}"
True,frame_lock,False,0,free,0,4332,False,73,"{""percentage"": 0}",ok,93608,0,7551006376,2019-03-28 11:07:00,13.741219639778,,True,True,False,5,end,dresden,0,Bf. Dresden-Neustadt,15,51.065183772328,0,"{""undefined"": 2, ""15"": 3}"
True,frame_lock,False,0,free,0,4332,False,73,,ok,93608,0,7551006376,2019-03-28 13:34:00,13.741219639778,,True,True,False,4,start,dresden,0,Bf. Dresden-Neustadt,15,51.065183772328,,"{""undefined"": 1, ""15"": 3}"
True,frame_lock,True,0,,0,4313,False,120,,ok,93608,0,7551006376,2019-03-28 13:59:00,13.733623623848,,True,True,False,4,end,dresden,0,Hauptbahnhof,15,51.040476453474,,"{""undefined"": 1, ""15"": 3}"
True,frame_lock,True,0,,0,4313,False,120,,ok,93608,0,7551006376,2019-03-28 14:45:00,13.733623623848,,True,True,False,2,start,dresden,0,Hauptbahnhof,15,51.040476453474,,"{""undefined"": 1, ""15"": 1}"
False,frame_lock,False,0,,12,0,False,13786384,,ok,93608,0,7551006376,2019-03-28 14:50:00,13.737493333333,,True,True,True,1,end,dresden,0,BIKE 93608,15,51.04368,,"{""15"": 1}"
False,frame_lock,False,0,,12,0,False,13791908,,ok,93608,0,7551006376,2019-03-28 19:04:00,13.738733333333,St. Petersburger Straße 25,True,True,True,1,start,dresden,0,BIKE 93608,15,51.043817777778,,"{""15"": 1}"
False,frame_lock,False,0,,12,0,False,13795806,,ok,93608,0,7551006376,2019-03-28 19:33:00,13.732177777778,,True,True,True,1,end,dresden,0,BIKE 93608,15,51.041417777778,,"{""15"": 1}"
False,frame_lock,False,0,,12,0,False,13795806,,ok,93608,0,7551006376,2019-03-28 21:11:00,13.732177777778,,True,True,True,1,start,dresden,0,BIKE 93608,15,51.041417777778,,"{""15"": 1}"
False,frame_lock,False,0,,12,0,False,13797984,,ok,93608,0,7551006376,2019-03-28 21:15:00,13.738305555556,St. Petersburger Straße,True,True,True,1,end,dresden,0,BIKE 93608,15,51.044275555556,,"{""15"": 1}"
False,frame_lock,False,0,,12,0,False,13797984,,ok,93608,0,7551006376,2019-03-28 23:59:00,13.73809,St. Petersburger Straße,True,True,True,1,last,dresden,0,BIKE 93608,15,51.044222222222,,"{""15"": 1}"
