p_spot,b_lock_types,p_maintenance,p_bike_racks,p_terminal_type,p_place_type,p_number,p_rack_locks,p_uid,b_state,b_number,p_free_racks,b_boardcomputer,datetime,p_lng,p_address,b_active,b_electric_lock,p_bike,p_bikes,trip,city,p_booked_bikes,p_name,b_bike_type,p_lat,b_pedelec_battery,p_bike_types
False,frame_lock,False,0,,12,0,False,13070649,ok,93146,0,7551005437,2019-03-01 12:15:00,13.710454444444,,True,True,True,1,end,dresden,0,BIKE 93146,0,51.035528888889,0,"{""undefined"": 1}"
False,frame_lock,False,0,,12,0,False,13070649,ok,93146,0,7551005437,2019-03-01 12:59:00,13.710454444444,,True,True,True,1,start,dresden,0,BIKE 93146,0,51.035528888889,0,"{""undefined"": 1}"
False,frame_lock,False,0,,12,0,False,13071590,ok,93146,0,7551005437,2019-03-01 13:05:00,13.723713333333,,True,True,True,1,end,dresden,0,BIKE 93146,0,51.033057777778,0,"{""undefined"": 1}"
True,frame_lock,False,0,free,0,4348,False,264548,ok,93146,0,7551005437,2019-03-01 16:48:00,13.722910881043,,True,True,False,4,start,dresden,0,Nürnberger Ei,0,51.03376708728,0,"{""undefined"": 3, ""15"": 1}"
True,frame_lock,False,0,free,0,4348,False,264548,ok,93146,0,7551005437,2019-03-01 16:50:00,13.722910881043,,True,True,False,4,end,dresden,0,Nürnberger Ei,0,51.03376708728,0,"{""undefined"": 3, ""15"": 1}"
True,frame_lock,False,0,free,0,4348,False,264548,ok,93146,0,7551005437,2019-03-01 23:04:00,13.722910881043,,True,True,False,5,start,dresden,0,Nürnberger Ei,0,51.03376708728,0,"{""undefined"": 4, ""15"": 1}"
False,frame_lock,False,0,,12,0,False,13081992,ok,93146,0,7551005437,2019-03-01 23:20:00,13.693002222222,,True,True,True,1,end,dresden,0,BIKE 93146,0,51.042222222222,0,"{""undefined"": 1}"
False,frame_lock,False,0,,12,0,False,13081992,ok,93146,0,7551005437,2019-03-01 23:59:00,13.693122777777,,True,True,True,1,last,dresden,0,BIKE 93146,0,51.04218,0,"{""undefined"": 1}"
False,frame_lock,False,0,,12,0,False,13056413,ok,93743,0,7551003521,2019-03-01 00:00:00,13.748394583333,,True,True,True,1,first,dresden,0,BIKE 93743,15,51.056610000001,0,"{""15"": 1}"
False,frame_lock,False,0,,12,0,False,13056413,ok,93743,0,7551003521,2019-03-01 16:48:00,13.748316328667,,True,True,True,1,start,dresden,0,BIKE 93743,15,51.056596202257,0,"{""15"": 1}"
False,frame_lock,False,0,,12,0,False,13056413,ok,93743,0,7551003521,2019-03-01 16:50:00,13.748316328667,,True,True,True,1,end,dresden,0,BIKE 93743,15,51.056596202257,0,"{""15"": 1}"
False,frame_lock,False,0,,12,0,False,13056413,ok,93743,0,7551003521,2019-03-01 23:59:00,13.748096923319,,True,True,True,1,last,dresden,0,BIKE 93743,15,51.056704484864,0,"{""15"": 1}"
False,frame_lock,False,0,,12,0,False,13060043,ok,93243,0,7551006675,2019-03-01 00:00:00,13.755591666667,,True,True,True,1,first,dresden,0,BIKE 93243,0,51.047515555555,0,"{""undefined"": 1}"
False,frame_lock,False,0,,12,0,False,13060043,ok,93243,0,7551006675,2019-03-01 00:19:00,13.755591666667,,True,True,True,1,start,dresden,0,BIKE 93243,0,51.047515555555,0,"{""undefined"": 1}"
False,frame_lock,False,0,,12,0,False,13062434,ok,93243,0,7551006675,2019-03-01 00:43:00,13.703266666667,,True,True,True,1,end,dresden,0,BIKE 93243,0,51.032724444444,0,"{""undefined"": 1}"
False,frame_lock,False,0,,12,0,False,13062434,ok,93243,0,7551006675,2019-03-01 16:48:00,13.70329797743,,True,True,True,1,start,dresden,0,BIKE 93243,0,51.032397847222,0,"{""undefined"": 1}"
False,frame_lock,False,0,,12,0,False,13062434,ok,93243,0,7551006675,2019-03-01 16:50:00,13.70329797743,,True,True,True,1,end,dresden,0,BIKE 93243,0,51.032397847222,0,"{""undefined"": 1}"
False,frame_lock,False,0,,12,0,False,13062434,ok,93243,0,7551006675,2019-03-01 23:59:00,13.702964665256,,True,True,True,1,last,dresden,0,BIKE 93243,0,51.032788476563,0,"{""undefined"": 1}"
True,frame_lock,False,0,,0,4319,False,121812,ok,93438,0,7551006653,2019-03-01 00:00:00,13.786323666573,,True,True,False,2,first,dresden,0,Hepkestraße,0,51.038155777082,0,"{""undefined"": 2}"
True,frame_lock,False,0,,0,4319,False,121812,ok,93438,0,7551006653,2019-03-01 06:47:00,13.786323666573,,True,True,False,2,start,dresden,0,Hepkestraße,0,51.038155777082,0,"{""undefined"": 2}"
True,frame_lock,False,0,,0,4395,False,264602,ok,93438,0,7551006653,2019-03-01 06:57:00,13.781125545502,,True,True,False,1,end,dresden,0,Uniklinikum,0,51.054222727738,0,"{""undefined"": 1}"
True,frame_lock,False,0,,0,4395,False,264602,ok,93438,0,7551006653,2019-03-01 07:52:00,13.781125545502,,True,True,False,1,start,dresden,0,Uniklinikum,0,51.054222727738,0,"{""undefined"": 1}"
False,frame_lock,False,0,,12,0,False,13066317,ok,93438,0,7551006653,2019-03-01 07:59:00,13.771618888889,,True,True,True,1,end,dresden,0,BIKE 93438,0,51.056711111111,0,"{""undefined"": 1}"
False,frame_lock,False,0,,12,0,False,13066317,ok,93438,0,7551006653,2019-03-01 08:02:00,13.771790555555,,True,True,True,1,start,dresden,0,BIKE 93438,0,51.056915555555,0,"{""undefined"": 1}"
False,frame_lock,False,0,,12,0,False,13066477,ok,93438,0,7551006653,2019-03-01 08:06:00,13.767562222222,,True,True,True,1,end,dresden,0,BIKE 93438,0,51.058057777778,0,"{""undefined"": 1}"
False,frame_lock,False,0,,12,0,False,13066477,ok,93438,0,7551006653,2019-03-01 10:15:00,13.767397777778,,True,True,True,1,start,dresden,0,BIKE 93438,0,51.057733333334,0,"{""undefined"": 1}"
False,frame_lock,False,0,,12,0,False,13068660,ok,93438,0,7551006653,2019-03-01 10:18:00,13.774424444444,,True,True,True,1,end,dresden,0,BIKE 93438,0,51.058248888889,0,"{""undefined"": 1}"
False,frame_lock,False,0,,12,0,False,13068660,ok,93438,0,7551006653,2019-03-01 10:54:00,13.774424444444,,True,True,True,1,start,dresden,0,BIKE 93438,0,51.058248888889,0,"{""undefined"": 1}"
False,frame_lock,False,0,,12,0,False,13069313,ok,93438,0,7551006653,2019-03-01 10:59:00,13.78267,,True,True,True,1,end,dresden,0,BIKE 93438,0,51.055622222222,0,"{""undefined"": 1}"
False,frame_lock,False,0,,12,0,False,13069313,ok,93438,0,7551006653,2019-03-01 11:51:00,13.78267,,True,True,True,1,start,dresden,0,BIKE 93438,0,51.055622222222,0,"{""undefined"": 1}"
False,frame_lock,False,0,,12,0,False,13070347,ok,93438,0,7551006653,2019-03-01 11:58:00,13.774458888889,,True,True,True,1,end,dresden,0,BIKE 93438,0,51.058186666667,0,"{""undefined"": 1}"
False,frame_lock,False,0,,12,0,False,13070347,ok,93438,0,7551006653,2019-03-01 12:09:00,13.774247222223,,True,True,True,1,start,dresden,0,BIKE 93438,0,51.05826,0,"{""undefined"": 1}"
False,frame_lock,False,0,,12,0,False,13070609,ok,93438,0,7551006653,2019-03-01 12:12:00,13.772177777778,,True,True,True,1,end,dresden,0,BIKE 93438,0,51.057137777778,0,"{""undefined"": 1}"
False,frame_lock,False,0,,12,0,False,13070609,ok,93438,0,7551006653,2019-03-01 12:21:00,13.772177777778,,True,True,True,1,start,dresden,0,BIKE 93438,0,51.057137777778,0,"{""undefined"": 1}"
False,frame_lock,False,0,,12,0,False,13070814,ok,93438,0,7551006653,2019-03-01 12:24:00,13.773788888889,,True,True,True,1,end,dresden,0,BIKE 93438,0,51.058204444444,0,"{""undefined"": 1}"
False,frame_lock,False,0,,12,0,False,13070814,ok,93438,0,7551006653,2019-03-01 14:33:00,13.773963333333,,True,True,True,1,start,dresden,0,BIKE 93438,0,51.058297777777,0,"{""undefined"": 1}"
True,frame_lock,False,0,,0,4398,False,264605,ok,93438,0,7551006653,2019-03-01 14:43:00,13.790733218193,,True,True,False,1,end,dresden,0,Barbarossaplatz,0,51.048412423104,0,"{""undefined"": 1}"
True,frame_lock,False,0,,0,4398,False,264605,ok,93438,0,7551006653,2019-03-01 16:48:00,13.790733218193,,True,True,False,1,start,dresden,0,Barbarossaplatz,0,51.048412423104,0,"{""undefined"": 1}"
True,frame_lock,False,0,,0,4398,False,264605,ok,93438,0,7551006653,2019-03-01 16:50:00,13.790733218193,,True,True,False,1,end,dresden,0,Barbarossaplatz,0,51.048412423104,0,"{""undefined"": 1}"
True,frame_lock,False,0,,0,4398,False,264605,ok,93438,0,7551006653,2019-03-01 23:59:00,13.790733218193,,True,True,False,1,last,dresden,0,Barbarossaplatz,0,51.048412423104,0,"{""undefined"": 1}"
False,frame_lock,False,0,,12,0,False,13053438,ok,93582,0,7551005266,2019-03-01 00:00:00,13.728469097223,,True,True,True,1,first,dresden,0,BIKE 93582,15,51.054035555556,0,"{""15"": 1}"
False,frame_lock,False,0,,12,0,False,13053438,ok,93582,0,7551005266,2019-03-01 16:48:00,13.728516228705,,True,True,True,1,start,dresden,0,BIKE 93582,15,51.053777552084,0,"{""15"": 1}"
False,frame_lock,False,0,,12,0,False,13053438,ok,93582,0,7551005266,2019-03-01 16:50:00,13.728516228705,,True,True,True,1,end,dresden,0,BIKE 93582,15,51.053777552084,0,"{""15"": 1}"
False,frame_lock,False,0,,12,0,False,13053438,ok,93582,0,7551005266,2019-03-01 23:59:00,13.728708556366,,True,True,True,1,last,dresden,0,BIKE 93582,15,51.053919416233,0,"{""15"": 1}"
False,frame_lock,False,0,,12,0,False,13055395,ok,93554,0,7551003473,2019-03-01 00:00:00,13.747174791666,,True,True,True,1,first,dresden,0,BIKE 93554,15,51.0509525,0,"{""15"": 1}"
False,frame_lock,False,0,,12,0,False,13074696,ok,93554,0,7551003473,2019-03-01 16:48:00,13.746166666667,,True,True,True,1,start,dresden,0,BIKE 93554,15,51.051813333333,0,"{""15"": 1}"
False,frame_lock,False,0,,12,0,False,13074696,ok,93554,0,7551003473,2019-03-01 16:50:00,13.746166666667,,True,True,True,1,end,dresden,0,BIKE 93554,15,51.051813333333,0,"{""15"": 1}"
False,frame_lock,False,0,,12,0,False,13082344,ok,93554,0,7551003473,2019-03-01 23:59:00,13.745682222222,,True,True,True,1,last,dresden,0,BIKE 93554,15,51.051773333333,0,"{""15"": 1}"
False,frame_lock,False,0,,12,0,False,13060839,ok,93434,0,7551004055,2019-03-01 00:00:00,13.75248,,True,True,True,1,first,dresden,0,BIKE 93434,0,51.061946666667,0,"{""undefined"": 1}"
False,frame_lock,False,0,,12,0,False,13060839,ok,93434,0,7551004055,2019-03-01 01:14:00,13.752397777778,,True,True,True,1,start,dresden,0,BIKE 93434,0,51.06182,0,"{""undefined"": 1}"
